"","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05"
"bias",0.0013,0.0013,0.0013,0.0014,0.0016,-0.0031,-0.0045,-0.0042,-0.0033,-0.0025,0.0103,0.0023,0.0017,-1e-04,0.0028,0.0055,0.001,0.0015,-1e-04,0.0027
"variance",7e-04,2e-04,1e-04,0,0,2e-04,0,0,0,0,9e-04,8e-04,0.001,8e-04,8e-04,0.0015,0.0012,0.0012,8e-04,8e-04
"CR",0.941,0.935,0.955,0.939,0.916,0.957,0.932,0.925,0.766,0.727,0.954,0.958,0.948,0.968,0.956,0.931,0.941,0.929,0.962,0.952
