"n","rf","rf.bias","rf.cr","rf.se","truth"
1000,0.0818044848362551,0.0418044848362551,1,0.0350102496338818,0.04
1000,0.107631614331828,0.0676316143318276,1,0.0384303069080483,0.04
1000,0.0854137154816328,0.0454137154816328,1,0.0359130360918566,0.04
1000,0.0571132711804203,0.0171132711804203,1,0.0402906359792288,0.04
1000,0.119202391381698,0.0792023913816977,0,0.0385018290634475,0.04
1000,0.0337150979156581,-0.0062849020843419,1,0.0430354501522818,0.04
1000,0.0866215888448637,0.0466215888448636,1,0.0510884824819805,0.04
1000,-0.0131296331452134,-0.0531296331452134,1,0.0417945673187389,0.04
1000,0.0572851064116739,0.0172851064116739,1,0.0405199795689024,0.04
1000,0.0672178039514685,0.0272178039514685,1,0.0441863293046072,0.04
1000,0.0800854613478632,0.0400854613478631,1,0.0281646176984172,0.04
1000,0.095816672506608,0.055816672506608,1,0.0380529207560431,0.04
1000,0.112897992332884,0.0728979923328839,1,0.0388282435225515,0.04
1000,0.032939277541929,-0.00706072245807104,1,0.0390436682275893,0.04
1000,0.124520075699067,0.0845200756990674,0,0.0245987334607734,0.04
1000,0.104004673411662,0.0640046734116617,1,0.0484735190869416,0.04
1000,0.11272175668751,0.0727217566875099,1,0.0524674347220059,0.04
1000,0.0348160379219901,-0.00518396207800997,1,0.0362765794014898,0.04
1000,0.12196807700216,0.0819680770021596,0,0.0324546024400473,0.04
1000,0.0840262018581965,0.0440262018581965,1,0.0400667200945215,0.04
1000,0.0168275823550555,-0.0231724176449445,1,0.0421298682362667,0.04
1000,0.148051924528734,0.108051924528734,0,0.0375025478467391,0.04
1000,0.157310210860053,0.117310210860053,0,0.0320270011952413,0.04
1000,0.0901352351248093,0.0501352351248092,1,0.0397859594751577,0.04
1000,0.133188433001936,0.0931884330019363,0,0.041073188768978,0.04
1000,0.068345814473175,0.028345814473175,1,0.0442873347330523,0.04
1000,0.0366742093902284,-0.00332579060977167,1,0.0360570777205135,0.04
1000,0.108135244639892,0.0681352446398919,1,0.0409462243310484,0.04
1000,0.084447521558247,0.044447521558247,1,0.0325860850031718,0.04
1000,0.0609221529143256,0.0209221529143255,1,0.0325374062025263,0.04
1000,0.061557901147378,0.0215579011473779,1,0.0435945400405647,0.04
1000,0.112412792702331,0.0724127927023305,0,0.0320884041395468,0.04
