"n","rdrobust","rdrobust.bias","rdrobust.cr","truth"
1000,0.0856394420841249,-0.013558019572216,1,0.0991974616563409
1000,0.050905594424467,-0.0482918672318739,0,0.0991974616563409
1000,0.0982505235862868,-0.000946938070054026,1,0.0991974616563409
1000,0.124069196994048,0.0248717353377066,1,0.0991974616563409
1000,0.144754218053766,0.0455567563974256,1,0.0991974616563409
1000,0.125807975423423,0.0266105137670826,1,0.0991974616563409
1000,0.091595289232045,-0.00760217242429589,1,0.0991974616563409
1000,0.0972506995316177,-0.00194676212472317,1,0.0991974616563409
1000,0.0226078277837848,-0.0765896338725561,0,0.0991974616563409
1000,0.155098290798189,0.0559008291418477,0,0.0991974616563409
1000,0.0795409456473831,-0.0196565160089577,1,0.0991974616563409
1000,0.175932178259699,0.0767347166033579,0,0.0991974616563409
1000,0.114760899091997,0.015563437435656,1,0.0991974616563409
1000,0.118949136095152,0.0197516744388109,1,0.0991974616563409
1000,0.149351737049792,0.0501542753934512,1,0.0991974616563409
1000,0.0909265247803835,-0.00827093687595731,1,0.0991974616563409
1000,0.114069497393408,0.0148720357370669,1,0.0991974616563409
1000,0.0954685208053896,-0.00372894085095127,1,0.0991974616563409
1000,0.124598885778369,0.0254014241220284,1,0.0991974616563409
1000,0.104292962740782,0.00509550108444085,1,0.0991974616563409
1000,0.0698478310174312,-0.0293496306389097,1,0.0991974616563409
1000,0.114745498186172,0.0155480365298316,1,0.0991974616563409
1000,0.143345679643052,0.044148217986711,1,0.0991974616563409
1000,0.131312979234158,0.0321155175778169,1,0.0991974616563409
1000,0.0763696210717426,-0.0228278405845982,1,0.0991974616563409
1000,0.118551740445131,0.0193542787887901,1,0.0991974616563409
1000,0.131362301996458,0.0321648403401175,1,0.0991974616563409
1000,0.148194936030496,0.0489974743741555,1,0.0991974616563409
1000,0.0855172742557095,-0.0136801874006313,1,0.0991974616563409
1000,0.0936401876867623,-0.00555727396957856,1,0.0991974616563409
1000,0.0631929980274947,-0.0360044636288462,1,0.0991974616563409
1000,0.107115533915251,0.00791807225891056,1,0.0991974616563409
1000,0.167474022127767,0.068276560471426,0,0.0991974616563409
1000,0.0924549764163755,-0.0067424852399654,1,0.0991974616563409
1000,0.081413077915285,-0.0177843837410559,1,0.0991974616563409
1000,0.142427630820746,0.0432301691644056,1,0.0991974616563409
1000,0.0580290020179939,-0.041168459638347,1,0.0991974616563409
1000,0.120201210716402,0.0210037490600615,1,0.0991974616563409
1000,0.151273402830025,0.0520759411736841,0,0.0991974616563409
1000,0.0897324975224663,-0.0094649641338746,1,0.0991974616563409
1000,0.0722426227273881,-0.0269548389289527,1,0.0991974616563409
1000,0.131662362161805,0.0324649005054641,1,0.0991974616563409
1000,0.0993208006695095,0.000123339013168688,1,0.0991974616563409
1000,0.105001053687824,0.00580359203148301,1,0.0991974616563409
1000,0.150358706468572,0.0511612448122313,0,0.0991974616563409
1000,0.0871787874960813,-0.0120186741602595,1,0.0991974616563409
1000,0.107165752475138,0.0079682908187973,1,0.0991974616563409
1000,0.0785942877871623,-0.0206031738691786,1,0.0991974616563409
1000,0.151146307352379,0.051948845696038,0,0.0991974616563409
1000,0.025895197906236,-0.0733022637501049,0,0.0991974616563409
1000,0.0883957242801695,-0.0108017373761713,1,0.0991974616563409
1000,0.120740623651816,0.0215431619954752,1,0.0991974616563409
1000,0.081531428043351,-0.0176660336129899,1,0.0991974616563409
1000,0.111891012842467,0.0126935511861265,1,0.0991974616563409
1000,0.136541207519817,0.0373437458634766,1,0.0991974616563409
