"n","optrdd","optrdd.bias","optrdd.cr","truth"
1000,0.100758145401098,0.0607581454010978,1,0.04
1000,0.102234520507677,0.0622345205076773,1,0.04
1000,0.0879727855887769,0.0479727855887769,1,0.04
1000,0.0670938838692035,0.0270938838692035,1,0.04
1000,0.118266637078143,0.0782666370781427,0,0.04
1000,0.0461913046355653,0.00619130463556531,1,0.04
1000,0.0804835346734693,0.0404835346734692,1,0.04
1000,0.0720954225396652,0.0320954225396651,1,0.04
1000,0.0577769630361005,0.0177769630361005,1,0.04
1000,0.0507027936352153,0.0107027936352153,1,0.04
1000,0.0645128936434624,0.0245128936434623,1,0.04
1000,0.0986079318539408,0.0586079318539407,1,0.04
1000,0.0420941684415745,0.00209416844157451,1,0.04
1000,0.102671587428056,0.0626715874280558,0,0.04
1000,0.0571226754940343,0.0171226754940343,1,0.04
1000,0.0976460316378418,0.0576460316378418,0,0.04
1000,0.0606532734885947,0.0206532734885946,1,0.04
1000,0.126711276153064,0.0867112761530642,0,0.04
1000,0.0408282464187202,0.000828246418720126,1,0.04
1000,0.0900536924014196,0.0500536924014196,1,0.04
1000,0.09287757120157,0.05287757120157,1,0.04
1000,0.0968508534905239,0.0568508534905239,1,0.04
1000,0.0330333315984475,-0.0069666684015525,1,0.04
1000,0.106831426194179,0.0668314261941793,0,0.04
1000,0.0216161762005584,-0.0183838237994416,1,0.04
1000,0.0817807650617866,0.0417807650617866,1,0.04
1000,0.0477844212395298,0.00778442123952978,1,0.04
1000,0.08631890460249,0.04631890460249,1,0.04
1000,0.0914109767660715,0.0514109767660715,1,0.04
1000,0.13530332090004,0.0953033209000395,0,0.04
1000,0.122835429152448,0.0828354291524485,0,0.04
1000,0.115946141425193,0.0759461414251932,0,0.04
1000,0.0989166957416895,0.0589166957416894,1,0.04
1000,0.0110022357898335,-0.0289977642101665,1,0.04
1000,0.0912729886546979,0.0512729886546978,1,0.04
1000,0.0926619939718785,0.0526619939718785,1,0.04
1000,0.155357458117302,0.115357458117302,0,0.04
1000,0.0683746401980858,0.0283746401980858,1,0.04
1000,0.116701549367233,0.0767015493672327,0,0.04
1000,0.123124413945139,0.0831244139451394,0,0.04
1000,0.100209707467494,0.060209707467494,1,0.04
1000,0.115119009082648,0.0751190090826479,0,0.04
1000,0.0586938284007897,0.0186938284007897,1,0.04
1000,0.112943618603667,0.0729436186036665,0,0.04
1000,0.0751079222594467,0.0351079222594467,1,0.04
1000,0.0588051756425558,0.0188051756425558,1,0.04
1000,0.0533112656562186,0.0133112656562186,1,0.04
1000,0.105280619054578,0.0652806190545775,0,0.04
1000,0.0787764083458032,0.0387764083458032,1,0.04
1000,0.0611751701663545,0.0211751701663545,1,0.04
1000,0.0272307738266342,-0.0127692261733658,1,0.04
1000,0.0362419505221271,-0.00375804947787289,1,0.04
1000,0.122430598183657,0.0824305981836574,0,0.04
1000,0.0643678035147452,0.0243678035147451,1,0.04
1000,0.0752096542531565,0.0352096542531564,1,0.04
1000,0.107501516352224,0.0675015163522238,1,0.04
1000,0.0761158267148482,0.0361158267148482,1,0.04
1000,0.108237619931465,0.0682376199314648,1,0.04
1000,0.0522577784188291,0.012257778418829,1,0.04
1000,0.0780488627673882,0.0380488627673882,1,0.04
1000,0.102703795181865,0.0627037951818653,0,0.04
1000,0.116156913387782,0.0761569133877824,0,0.04
1000,0.111560837313074,0.0715608373130741,0,0.04
1000,0.0699983903026887,0.0299983903026887,1,0.04
1000,0.118112495528243,0.078112495528243,0,0.04
1000,0.0671889291021584,0.0271889291021583,1,0.04
1000,0.101069467398232,0.0610694673982322,0,0.04
1000,0.0896110462731472,0.0496110462731472,1,0.04
1000,0.0638883957294541,0.023888395729454,1,0.04
1000,0.00494581985524799,-0.035054180144752,1,0.04
1000,0.102023765313245,0.0620237653132449,1,0.04
1000,0.0751048578151918,0.0351048578151918,1,0.04
1000,0.0464620177860995,0.00646201778609944,1,0.04
1000,0.118389657302788,0.0783896573027877,0,0.04
1000,0.063529171951715,0.0235291719517149,1,0.04
1000,0.126759991938483,0.0867599919384826,0,0.04
1000,0.0490457874484975,0.00904578744849748,1,0.04
1000,0.0923217865685786,0.0523217865685785,1,0.04
1000,0.0419927279200629,0.00199272792006283,1,0.04
1000,0.0699759986638912,0.0299759986638912,1,0.04
1000,0.096766931373149,0.056766931373149,1,0.04
1000,0.0648229483746263,0.0248229483746262,1,0.04
1000,0.110326521996377,0.0703265219963774,1,0.04
1000,0.102889443383703,0.0628894433837032,1,0.04
1000,0.11488598845706,0.0748859884570605,0,0.04
1000,0.0529319310359919,0.0129319310359919,1,0.04
1000,0.120639618523119,0.0806396185231194,0,0.04
1000,0.0854259091176167,0.0454259091176167,1,0.04
1000,0.112610770074173,0.0726107700741734,0,0.04
1000,0.103450767812605,0.0634507678126051,0,0.04
1000,0.0687345325040771,0.0287345325040771,1,0.04
1000,0.118620271737642,0.0786202717376422,0,0.04
1000,0.0799991348831164,0.0399991348831163,1,0.04
1000,0.074225881326538,0.0342258813265379,1,0.04
1000,0.0939362127163577,0.0539362127163577,1,0.04
1000,0.0861770858755435,0.0461770858755434,1,0.04
1000,0.0370083246255365,-0.00299167537446358,1,0.04
1000,0.12067639099101,0.0806763909910096,0,0.04
1000,0.0365806100160609,-0.00341938998393911,1,0.04
1000,0.113124626571073,0.0731246265710728,0,0.04
1000,0.0882733932779897,0.0482733932779897,1,0.04
1000,0.0761181618817698,0.0361181618817698,1,0.04
1000,0.0541099112530257,0.0141099112530257,1,0.04
1000,0.0878337803954943,0.0478337803954942,1,0.04
1000,0.125345867128087,0.0853458671280874,0,0.04
1000,0.0956215556910439,0.0556215556910439,1,0.04
1000,0.0735684034365,0.0335684034365,1,0.04
1000,0.0770095334155408,0.0370095334155407,1,0.04
1000,0.0418434674656872,0.00184346746568712,1,0.04
1000,0.0756351031024114,0.0356351031024114,1,0.04
1000,0.0558322862187068,0.0158322862187067,1,0.04
1000,0.0581082579987877,0.0181082579987877,1,0.04
1000,0.0940298314822551,0.054029831482255,1,0.04
1000,0.0683539109003849,0.0283539109003848,1,0.04
1000,0.0528452514355275,0.0128452514355274,1,0.04
1000,0.10035332409264,0.0603533240926404,0,0.04
1000,0.0883755338612961,0.048375533861296,1,0.04
1000,0.0723463558929601,0.0323463558929601,1,0.04
1000,0.0526679266222727,0.0126679266222726,1,0.04
1000,-0.00901508744435808,-0.0490150874443581,1,0.04
1000,0.0497182030775672,0.00971820307756716,1,0.04
1000,0.0297907689133102,-0.0102092310866898,1,0.04
1000,0.0897830770046038,0.0497830770046037,1,0.04
1000,0.0995513718153459,0.0595513718153459,1,0.04
1000,0.104506670215709,0.064506670215709,1,0.04
1000,0.128177868806464,0.0881778688064639,0,0.04
1000,0.11089461942022,0.07089461942022,0,0.04
1000,0.101263233106222,0.0612632331062219,0,0.04
1000,0.0567652375933737,0.0167652375933737,1,0.04
1000,0.0759740212478451,0.035974021247845,1,0.04
1000,0.115284144949256,0.0752841449492557,0,0.04
1000,0.0406278624617435,0.000627862461743477,1,0.04
1000,0.063115428673943,0.023115428673943,1,0.04
1000,0.0432223260316763,0.00322232603167627,1,0.04
1000,0.0400824779602986,8.24779602985951e-05,1,0.04
1000,0.0606503526643475,0.0206503526643474,1,0.04
1000,0.0161973189345169,-0.0238026810654832,1,0.04
1000,0.0652536814691155,0.0252536814691155,1,0.04
1000,0.076844860204498,0.036844860204498,1,0.04
1000,0.134967884405528,0.0949678844055284,0,0.04
1000,0.0279533215398052,-0.0120466784601948,1,0.04
1000,0.0554501468097958,0.0154501468097958,1,0.04
1000,0.0695268712177911,0.029526871217791,1,0.04
1000,0.0245925698149476,-0.0154074301850525,1,0.04
1000,0.0955926050710439,0.0555926050710439,1,0.04
1000,0.104719833869577,0.0647198338695768,0,0.04
1000,0.0666776233058232,0.0266776233058232,1,0.04
1000,0.0795475132524644,0.0395475132524643,1,0.04
1000,0.100389705198643,0.0603897051986428,1,0.04
1000,0.0502312037027776,0.0102312037027775,1,0.04
