"prvdr_num","sum_pctg_ssi_mdcd_days","nonmdcr_uncomp_costs_only10","beds","total_margin","ucc_per_bed","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","safety_net"
"010065",0.337681430334848,1653710.69753551,40.7315066964658,-0.0665650783167301,40600.2829666746,55,TRUE
"010069",0.238779681388516,1863532.15002989,30,-0.0597781574899612,62117.7383343296,25,TRUE
"010073",0.491899967193604,1280911,46,0.000185780811034991,27845.8913043478,9,TRUE
"010078",0.327899932861328,11951616,272,0.0350850423227235,43939.7647058823,348,FALSE
"010079",0.280810010920226,5164306.42995999,66,-0.00987698190167257,78247.0671206059,77,TRUE
"010083",0.195899963378906,5806084,112,0.325598246592386,51840.0357142857,222,FALSE
"010085",0.213249236990649,11481323.2523748,244.060267477163,-0.0688495324292061,47042.9839770996,239,TRUE
"010086",0.177932293628275,1127821.13136625,46.7890414185721,-0.0926014792524499,24104.3863514285,23,FALSE
"010087",0.394999980926514,11779216,183,0.080016987792,64367.3005464481,126,FALSE
"010089",0.335050877900839,10268064.5937119,207,0.0554126328541106,49604.1767812167,133,FALSE
"010090",0.21581801011386,19087095.9748463,349,0.0337491900768733,54690.8194121671,280,FALSE
"010091",0.487055033588931,1186394.9533611,21,0.0223583023441126,56494.9977791,8,TRUE
"010092",0.357699871063232,45520800,524,0.0510346688917168,86871.7557251908,602,FALSE
"010097",0.416113596619644,232456.35423851,33,-0.00297091837172964,7044.13194662152,34,FALSE
"010099",0.304199934005737,1829580,46,0.000671695041809286,39773.4782608696,58,TRUE
"010100",0.178424908942908,9707526.33035988,129,0.0455484740799898,75252.142095813,212,FALSE
"010101",0.298252735389683,4433977.6916008,98.4630133929316,-0.0597069807947121,45031.9113625574,40,TRUE
"010102",0.442399978637695,319858,21,-0.121013976791447,15231.3333333333,0,FALSE
"010103",0.275341807052796,19709687.4335098,279,0.0701879773581378,70644.040980322,265,FALSE
"010104",0.193503821864323,8909028.49678431,373,0.143922978085381,23884.7948975451,273,FALSE
"010108",0.261450008357976,4430168.17537862,55,-0.0951265592246604,80548.5122796112,136,TRUE
"010110",0.617105515410018,841321.564730167,26.260274057519,-3.00533594483481,32037.8059607217,0,TRUE
"010112",0.396999835968018,1205982,37,-0.107912182300949,32594.1081081081,96,TRUE
"010113",0.323541210073835,26408294.196673,603.479454269149,0.00254177125228608,43760.0551433107,503,TRUE
"010114",0.266499996185303,10563656,187,0.00563521678843572,56490.1390374332,139,TRUE
"010118",0.546221854152294,4490768.47645953,109,0.0226066038687228,41199.7107932067,150,TRUE
"010120",0.513999938964844,1955798,49,-0.0209448511746978,39914.2448979592,33,TRUE
"010125",0.267661884451435,1437481.16646767,49,-0.16286277198582,29336.3503360748,38,TRUE
"010126",0.373369144782225,2291296.17303768,68.9232959381561,0.0354622127977301,33244.1468715255,25,FALSE
"010128",0.499414198965834,1049671.18230295,35,-0.032548972237389,29990.6052086558,19,TRUE
"010129",0.386473208673934,3408817.94950685,39.9589085382979,-0.178736291277875,85308.0845849363,56,TRUE
