"n","rf","rf.bias","rf.cr","rf.se","truth"
1000,-2.66464888889352,-3.75266211855581,1,3.64294388746185,1.08801322966229
1000,-1.38338055339469,-2.47139378305698,1,2.77396227232764,1.08801322966229
1000,-0.834123906838784,-1.92213713650107,1,3.44171633250518,1.08801322966229
1000,3.72424245274514,2.63622922308285,1,2.83728749902609,1.08801322966229
1000,1.1557387064264,0.0677254767641173,1,3.00905907453317,1.08801322966229
1000,-3.12962562082138,-4.21763885048367,1,2.86435096799891,1.08801322966229
1000,2.76965169165018,1.68163846198789,1,2.75646112337973,1.08801322966229
1000,-1.11245793112076,-2.20047116078305,1,3.18001800399913,1.08801322966229
1000,3.26290935803602,2.17489612837373,1,3.29886653163671,1.08801322966229
1000,-3.75751392934954,-4.84552715901182,1,3.3675928334764,1.08801322966229
1000,-2.25554545756022,-3.3435586872225,1,4.22947465810136,1.08801322966229
1000,1.97479066890413,0.88677743924184,1,3.501473533795,1.08801322966229
1000,1.44471786229237,0.356704632630084,1,4.06992131907973,1.08801322966229
1000,-2.24700820876004,-3.33502143842233,1,3.54425349809642,1.08801322966229
1000,2.6430639169519,1.55505068728961,1,3.61860663231367,1.08801322966229
1000,-0.235758998887007,-1.32377222854929,1,3.16625545922584,1.08801322966229
1000,-1.57907514240807,-2.66708837207035,1,3.32190457034343,1.08801322966229
1000,-1.07249590405677,-2.16050913371906,1,3.35818112483259,1.08801322966229
1000,-1.6579440062027,-2.74595723586499,1,3.41060259630238,1.08801322966229
1000,0.109888346419034,-0.978124883243254,1,2.81327051056123,1.08801322966229
1000,0.927138139148504,-0.160875090513784,1,3.79470111191732,1.08801322966229
1000,6.21438431071868,5.12637108105639,1,3.86898707401122,1.08801322966229
1000,-1.424420647705,-2.51243387736729,1,3.3994263408267,1.08801322966229
1000,4.0668645623325,2.97885133267021,1,2.97526472085197,1.08801322966229
1000,0.611617226722487,-0.476396002939801,1,2.78149487615484,1.08801322966229
1000,5.65351882110266,4.56550559144037,1,3.5154781534427,1.08801322966229
1000,-2.76597693080883,-3.85399016047111,1,2.10483025472088,1.08801322966229
1000,-1.53497836393852,-2.62299159360081,1,3.06558891739605,1.08801322966229
1000,4.17863932712927,3.09062609746698,1,2.32747959694054,1.08801322966229
1000,0.823359343825146,-0.264653885837141,1,3.67558625345294,1.08801322966229
1000,-0.807360848500949,-1.89537407816324,1,3.13595186074713,1.08801322966229
1000,2.9559901929533,1.86797696329101,1,2.96870216944048,1.08801322966229
1000,4.42978298062766,3.34176975096537,1,3.23309027361145,1.08801322966229
