"n","llf","llf.bias","llf.cr","llf.se","truth"
1000,14.5046947037776,10.4632947037776,1,5.5123607053926,4.04140000000001
1000,12.8780562066921,8.83665620669211,1,5.32137944315982,4.04140000000001
1000,20.9871545131136,16.9457545131136,0,3.31428972594843,4.04140000000001
1000,13.142350374224,9.10095037422394,1,9.66650959006618,4.04140000000001
1000,4.87257599624343,0.831175996243417,1,5.62537893370929,4.04140000000001
1000,18.7356350286118,14.6942350286118,1,7.62759392636348,4.04140000000001
1000,15.3549451988061,11.3135451988061,1,7.45981993860489,4.04140000000001
1000,5.38842832249961,1.3470283224996,1,9.12607803984447,4.04140000000001
1000,22.4293500696913,18.3879500696912,0,6.29228267242834,4.04140000000001
1000,3.60393972532898,-0.437460274671025,1,5.73117040402576,4.04140000000001
1000,20.2076346680617,16.1662346680617,0,6.24093721068196,4.04140000000001
1000,17.5013571517201,13.4599571517201,1,7.6608957208425,4.04140000000001
1000,2.58235256593383,-1.45904743406618,1,4.30118625906536,4.04140000000001
1000,7.50134506184509,3.45994506184508,1,6.86940220327889,4.04140000000001
1000,25.5253294535669,21.4839294535669,0,8.33053605590132,4.04140000000001
1000,14.7382091146611,10.6968091146611,1,8.40582656207712,4.04140000000001
1000,13.188732247834,9.14733224783402,1,8.76769974892476,4.04140000000001
1000,13.6406051849449,9.59920518494488,1,6.70285959536074,4.04140000000001
1000,11.7703711246616,7.72897112466154,1,4.17604101435711,4.04140000000001
1000,14.0222661637232,9.98086616372319,1,6.20023934100309,4.04140000000001
1000,5.30752217781725,1.26612217781724,1,5.11601303905063,4.04140000000001
1000,8.21757011107724,4.17617011107723,1,6.06232333266483,4.04140000000001
1000,11.2310095776534,7.18960957765336,1,7.66260539854538,4.04140000000001
1000,10.6491421401293,6.60774214012926,1,6.50859800861749,4.04140000000001
1000,11.5448785462866,7.50347854628663,1,6.98095042234456,4.04140000000001
1000,16.6094969262433,12.5680969262432,1,9.20439286069546,4.04140000000001
1000,28.3253063157267,24.2839063157267,0,3.77749244764575,4.04140000000001
1000,18.9891556844123,14.9477556844122,0,6.18898622083903,4.04140000000001
1000,11.4627809329025,7.42138093290248,1,6.37448127999494,4.04140000000001
1000,10.0913891647258,6.04998916472576,1,8.86200404939251,4.04140000000001
1000,-4.38663906108718,-8.42803906108719,1,9.0170424632665,4.04140000000001
1000,6.67824822274747,2.63684822274746,1,6.16861138241447,4.04140000000001
1000,6.07036251907576,2.02896251907575,1,7.75157820995089,4.04140000000001
1000,7.67646603908105,3.63506603908104,1,7.15428189184535,4.04140000000001
1000,16.1283573809733,12.0869573809733,1,6.37127667707474,4.04140000000001
1000,1.87626990126446,-2.16513009873555,1,6.45597123407975,4.04140000000001
1000,12.352298041098,8.31089804109803,1,6.59061959546198,4.04140000000001
1000,10.3331654278672,6.2917654278672,1,6.84801999493096,4.04140000000001
1000,11.6339840859192,7.59258408591921,1,6.40432141102893,4.04140000000001
1000,4.9014560065724,0.860056006572393,1,8.18240863694515,4.04140000000001
1000,12.6629730950329,8.62157309503291,1,8.63516318491771,4.04140000000001
1000,21.1381474042645,17.0967474042645,0,6.14693864899434,4.04140000000001
1000,9.77496063505652,5.73356063505651,1,7.66635909173512,4.04140000000001
1000,3.72439981012192,-0.317000189878087,1,5.98834189897618,4.04140000000001
1000,10.96522543036,6.92382543036001,1,4.89400839622847,4.04140000000001
1000,2.62589167044777,-1.41550832955224,1,7.79063307373488,4.04140000000001
