"n","rf","rf.bias","rf.cr","rf.se","truth"
1000,-0.0882926752838757,-0.05066402279385,1,0.0938404028950795,-0.0376286524900258
1000,0.00163338499821575,0.0392620374882415,1,0.104569150604439,-0.0376286524900258
1000,0.0533155051347756,0.0909441576248013,1,0.0855915479958361,-0.0376286524900258
1000,0.106697376247578,0.144326028737603,1,0.106836992618326,-0.0376286524900258
1000,-0.056903200532846,-0.0192745480428202,1,0.0948016770651447,-0.0376286524900258
1000,-0.0891593072055231,-0.0515306547154973,1,0.112431205015861,-0.0376286524900258
1000,-0.133428329199179,-0.0957996767091531,1,0.0829480336268065,-0.0376286524900258
1000,-0.063947842112981,-0.0263191896229552,1,0.0992972315849119,-0.0376286524900258
1000,0.0558729202109869,0.0935015727010127,1,0.111636677150212,-0.0376286524900258
1000,-0.0955029586079257,-0.0578743061178999,1,0.0778163278600606,-0.0376286524900258
1000,0.0010936714515275,0.0387223239415533,1,0.101181965392542,-0.0376286524900258
1000,0.0399640203269402,0.077592672816966,1,0.0973628466707753,-0.0376286524900258
1000,-0.0972762475563798,-0.059647595066354,1,0.0741231694601924,-0.0376286524900258
1000,0.0807984027505039,0.11842705524053,1,0.0924562569661629,-0.0376286524900258
1000,-0.0219467366741321,0.0156819158158937,1,0.0773566853009431,-0.0376286524900258
1000,-0.0337243978965664,0.00390425459345933,1,0.0476541216674914,-0.0376286524900258
1000,0.011527728361712,0.0491563808517378,1,0.0919722030393973,-0.0376286524900258
1000,-0.0147605385424974,0.0228681139475284,1,0.0674559825442844,-0.0376286524900258
1000,0.0197770563968371,0.0574057088868629,1,0.0872469679259083,-0.0376286524900258
1000,-0.0222381142283923,0.0153905382616335,1,0.0974964811159064,-0.0376286524900258
1000,-0.00122379720039079,0.036404855289635,1,0.105326798807438,-0.0376286524900258
1000,0.0803357071947649,0.117964359684791,1,0.115214052932309,-0.0376286524900258
1000,0.0436133831347509,0.0812420356247767,1,0.10409292705698,-0.0376286524900258
1000,-0.03391472252688,0.00371392996314579,1,0.0939432412500162,-0.0376286524900258
1000,0.0355249956780705,0.0731536481680963,1,0.079278959025984,-0.0376286524900258
1000,0.0228559313130814,0.0604845838031072,1,0.08152170597991,-0.0376286524900258
1000,-0.0817750101781622,-0.0441463576881365,1,0.0686323253712903,-0.0376286524900258
1000,-0.102226535387186,-0.0645978828971605,1,0.119513954297392,-0.0376286524900258
1000,0.124151279774914,0.16177993226494,1,0.097807089478399,-0.0376286524900258
1000,0.0450397945616778,0.0826684470517036,1,0.080032571335383,-0.0376286524900258
1000,-0.0517193420199848,-0.0140906895299591,1,0.0696458188655991,-0.0376286524900258
1000,0.0341386489748636,0.0717673014648894,1,0.0815580050762735,-0.0376286524900258
1000,-0.161669486323118,-0.124040833833092,1,0.0804407217528021,-0.0376286524900258
1000,-0.159214664383605,-0.121586011893579,1,0.105191143151779,-0.0376286524900258
1000,0.0723297007536989,0.109958353243725,1,0.0832539755939105,-0.0376286524900258
1000,-0.0176960551002459,0.0199325973897799,1,0.0850945208423004,-0.0376286524900258
1000,-0.022928705880179,0.0146999466098467,1,0.067694670080176,-0.0376286524900258
1000,0.0232830347783427,0.0609116872683685,1,0.102331927414049,-0.0376286524900258
1000,-0.0211807401190138,0.016447912371012,1,0.105887694929341,-0.0376286524900258
1000,0.250577939343075,0.288206591833101,0,0.101922277836895,-0.0376286524900258
1000,-0.0143386771389966,0.0232899753510292,1,0.110489258202924,-0.0376286524900258
1000,0.0722927879195163,0.109921440409542,1,0.10513673830732,-0.0376286524900258
1000,0.0196319322849711,0.0572605847749968,1,0.083517286919221,-0.0376286524900258
1000,-0.0493694124700559,-0.0117407599800301,1,0.104034902576555,-0.0376286524900258
1000,0.011924834035247,0.0495534865252728,1,0.085496952936719,-0.0376286524900258
1000,0.096929291799309,0.134557944289335,1,0.0746833053375726,-0.0376286524900258
1000,0.0430999828861277,0.0807286353761535,1,0.101696732977922,-0.0376286524900258
1000,0.0621059600183167,0.0997346125083425,1,0.0898606587746785,-0.0376286524900258
1000,-0.00074348432867144,0.0368851681613543,1,0.0716047489085232,-0.0376286524900258
1000,0.106489951569586,0.144118604059612,1,0.0854529574784586,-0.0376286524900258
1000,-0.117911736934377,-0.0802830844443515,1,0.0945491994827054,-0.0376286524900258
1000,-0.00686840875756523,0.0307602437324606,1,0.073898426617705,-0.0376286524900258
1000,-0.122564914654489,-0.0849362621644629,1,0.0830005128567659,-0.0376286524900258
1000,0.230717882122348,0.268346534612374,0,0.105545972093394,-0.0376286524900258
1000,-0.0199815399712606,0.0176471125187652,1,0.0867885422829992,-0.0376286524900258
1000,-0.0721444902835386,-0.0345158377935129,1,0.0812944109118682,-0.0376286524900258
1000,-0.0394418962867721,-0.0018132437967463,1,0.0972988730315656,-0.0376286524900258
1000,0.0231918552500125,0.0608205077400383,1,0.0823056538937791,-0.0376286524900258
1000,0.0715466994812891,0.109175351971315,1,0.0968875199808591,-0.0376286524900258
1000,0.0862340074983498,0.123862659988376,1,0.0963670776578311,-0.0376286524900258
1000,0.137181562211268,0.174810214701293,0,0.0876982720228086,-0.0376286524900258
1000,0.0559584967187656,0.0935871492087914,1,0.101607825812498,-0.0376286524900258
1000,-0.013987106751348,0.0236415457386778,1,0.0976956063166843,-0.0376286524900258
1000,0.0259644723365658,0.0635931248265916,1,0.0937187351950156,-0.0376286524900258
