"n","optrdd","bias","optrdd.cr","CI_plusminus","truth"
1000,-0.854471217131522,-5.30636121713152,1,20.0178290862153,4.45189
1000,-1.72772185491906,-6.17961185491906,1,14.297280597573,4.45189
1000,-3.60688408165299,-8.05877408165299,1,12.1033482532322,4.45189
1000,-0.300255966792695,-4.75214596679269,1,14.0459630595943,4.45189
1000,-9.09750514468667,-13.5493951446867,1,17.4918297059185,4.45189
1000,5.65462825765994,1.20273825765994,1,8.62440534676745,4.45189
1000,17.1352331065154,12.6833431065154,1,20.5481579808947,4.45189
1000,1.16056102821784,-3.29132897178216,1,24.5059697010059,4.45189
1000,36.0618930264277,31.6100030264277,0,28.4118992546313,4.45189
1000,4.46909935329867,0.0172093532986723,1,14.2415367564579,4.45189
1000,1.43845160525729,-3.01343839474271,1,8.76586398573537,4.45189
1000,12.8078264350229,8.35593643502288,1,31.4690212567275,4.45189
1000,9.56842846206288,5.11653846206288,1,24.2188713133345,4.45189
1000,-0.496080495379465,-4.94797049537946,1,24.0999936656276,4.45189
1000,9.59354425102464,5.14165425102464,1,17.7137408652543,4.45189
1000,3.90376558507987,-0.548124414920132,1,24.3436659889258,4.45189
1000,7.34786894872398,2.89597894872398,1,13.369994119031,4.45189
1000,2.75254507756236,-1.69934492243764,1,16.0740436961788,4.45189
1000,0.367892226936991,-4.08399777306301,1,8.73648993552302,4.45189
1000,-6.73040801955127,-11.1822980195513,1,15.837596881694,4.45189
1000,-9.88715093821197,-14.339040938212,1,18.0672928826116,4.45189
1000,0.775960977643016,-3.67592902235698,1,20.362634448648,4.45189
1000,-9.86338082860412,-14.3152708286041,1,22.3067509937138,4.45189
1000,11.3734822766505,6.92159227665051,1,14.3376062126146,4.45189
1000,-22.883957398264,-27.335847398264,0,27.2118327383657,4.45189
1000,-8.90202189749971,-13.3539118974997,1,15.3801624247554,4.45189
1000,4.0579083011219,-0.3939816988781,1,7.90958006150052,4.45189
1000,-11.0719986100317,-15.5238886100317,1,28.7441913470769,4.45189
1000,-6.95196638856308,-11.4038563885631,1,15.861008471908,4.45189
1000,-0.688485315914433,-5.14037531591443,1,9.89946639977256,4.45189
1000,8.52124166337464,4.06935166337464,1,20.0811900066454,4.45189
1000,1.98066593435931,-2.47122406564069,1,13.3838957393622,4.45189
1000,10.8514300575886,6.39954005758857,1,13.2690115660288,4.45189
1000,20.3593444988431,15.9074544988431,1,23.4604729414498,4.45189
