"scale","rf","rf.bias","rf.cr","rf.se","truth"
"0.2","12.793458165129","8.75205816512897","1","4.08007055404798",4.04140000000001
"0.2","12.1959382664539","8.1545382664539","1","4.08007055404798",4.04140000000001
"0.2","17.3135735958472","13.2721735958472","0","4.08007055404798",4.04140000000001
"0.2","13.4309085137662","9.3895085137662","1","4.08007055404798",4.04140000000001
"0.2","8.25297694517036","4.21157694517035","1","4.08007055404798",4.04140000000001
"0.2","20.6438824837371","16.6024824837371","0","4.08007055404798",4.04140000000001
"0.2","3.59779715817595","-0.44360284182406","1","4.08007055404798",4.04140000000001
"0.2","8.62706396985712","4.58566396985711","1","4.08007055404798",4.04140000000001
"0.2","11.0812313346231","7.0398313346231","1","4.08007055404798",4.04140000000001
"0.2","13.6471797320546","9.6057797320546","0","4.08007055404798",4.04140000000001
"0.2","15.5699753092859","11.5285753092859","0","4.08007055404798",4.04140000000001
"0.2","3.27238522029737","-0.769014779702644","1","4.08007055404798",4.04140000000001
"0.2","8.43923255640053","4.39783255640052","1","4.08007055404798",4.04140000000001
"0.2","14.1581828359558","10.1167828359557","0","4.08007055404798",4.04140000000001
"0.2","11.1917066681205","7.15030666812052","0","4.08007055404798",4.04140000000001
"0.2","19.7273669572385","15.6859669572385","0","4.08007055404798",4.04140000000001
"0.2","10.029643626711","5.98824362671095","1","4.08007055404798",4.04140000000001
"0.2","4.53724059059851","0.495840590598505","1","4.08007055404798",4.04140000000001
"0.2","2.86720174954036","-1.17419825045965","1","4.08007055404798",4.04140000000001
"0.2","16.6553517170976","12.6139517170976","0","4.08007055404798",4.04140000000001
"0.2","7.66995102776968","3.62855102776967","1","4.08007055404798",4.04140000000001
"0.2","14.0511642895376","10.0097642895376","0","4.08007055404798",4.04140000000001
"0.2","11.6755684990099","7.63416849900986","1","4.08007055404798",4.04140000000001
"0.2","9.3841473919399","5.34274739193989","1","4.08007055404798",4.04140000000001
"0.2","11.5263435832727","7.48494358327272","1","4.08007055404798",4.04140000000001
"0.2","2.33530617229266","-1.70609382770735","1","4.08007055404798",4.04140000000001
"0.2","7.25275689026486","3.21135689026485","1","4.08007055404798",4.04140000000001
"0.2","7.35066715415982","3.30926715415981","1","4.08007055404798",4.04140000000001
