"scale","rf","rf.bias","rf.cr","rf.se","truth"
"0.2","4.11146078143358","2.62362827922314","1","4.74069346102574",1.48783250221044
"0.2","9.63444177394197","8.14660927173153","1","4.74069346102574",1.48783250221044
"0.2","9.32183146412652","7.83399896191608","1","4.74069346102574",1.48783250221044
"0.2","6.70935123379698","5.22151873158654","1","4.74069346102574",1.48783250221044
"0.2","12.4842610446212","10.9964285424107","0","4.74069346102574",1.48783250221044
"0.2","2.76376172114831","1.27592921893788","1","4.74069346102574",1.48783250221044
"0.2","-3.32664774001674","-4.81448024222718","1","4.74069346102574",1.48783250221044
"0.2","5.60343728764281","4.11560478543237","1","4.74069346102574",1.48783250221044
"0.2","-2.97869895059566","-4.46653145280609","1","4.74069346102574",1.48783250221044
"0.2","6.89046218700918","5.40262968479874","1","4.74069346102574",1.48783250221044
"0.2","10.5351048750437","9.04727237283325","1","4.74069346102574",1.48783250221044
"0.2","8.00216177745466","6.51432927524422","1","4.74069346102574",1.48783250221044
"0.2","2.69574243433647","1.20790993212603","1","4.74069346102574",1.48783250221044
"0.2","-3.82772507487886","-5.31555757708929","1","4.74069346102574",1.48783250221044
"0.2","7.70034249798729","6.21250999577686","1","4.74069346102574",1.48783250221044
"0.2","6.14063031060633","4.65279780839589","1","4.74069346102574",1.48783250221044
"0.2","6.0633620223459","4.57552952013546","1","4.74069346102574",1.48783250221044
"0.2","0.569412827781832","-0.918419674428606","1","4.74069346102574",1.48783250221044
"0.2","7.77015921410595","6.28232671189551","1","4.74069346102574",1.48783250221044
"0.2","-0.877617985062813","-2.36545048727325","1","4.74069346102574",1.48783250221044
"0.2","3.54459835237463","2.0567658501642","1","4.74069346102574",1.48783250221044
"0.2","0.983218198847538","-0.504614303362899","1","4.74069346102574",1.48783250221044
"0.2","4.56226288215467","3.07443037994423","1","4.74069346102574",1.48783250221044
"0.2","0.967543675925128","-0.520288826285309","1","4.74069346102574",1.48783250221044
"0.2","6.1810545573683","4.69322205515786","1","4.74069346102574",1.48783250221044
"0.2","10.5254263921784","9.03759388996795","0","4.74069346102574",1.48783250221044
"0.2","9.43975212970213","7.95191962749169","0","4.74069346102574",1.48783250221044
"0.2","2.65995972206503","1.17212721985459","1","4.74069346102574",1.48783250221044
"0.2","11.9211401218923","10.4333076196818","1","4.74069346102574",1.48783250221044
"0.2","7.27816269709362","5.79033019488318","1","4.74069346102574",1.48783250221044
"0.2","3.50010911886872","2.01227661665828","1","4.74069346102574",1.48783250221044
"0.2","12.4843319524255","10.996499450215","0","4.74069346102574",1.48783250221044
"0.2","9.55463889104834","8.0668063888379","1","4.74069346102574",1.48783250221044
"0.2","14.6896252123452","13.2017927101348","0","4.74069346102574",1.48783250221044
"0.2","0.795556081825367","-0.69227642038507","1","4.74069346102574",1.48783250221044
"0.2","-7.37269972015446","-8.8605322223649","0","4.74069346102574",1.48783250221044
"0.2","3.99987759032683","2.51204508811639","1","4.74069346102574",1.48783250221044
"0.2","3.47139375624036","1.98356125402992","1","4.74069346102574",1.48783250221044
"0.2","2.77112061443191","1.28328811222147","1","4.74069346102574",1.48783250221044
"0.2","11.4531564392748","9.9653239370644","1","4.74069346102574",1.48783250221044
"0.2","6.79886437280319","5.31103187059276","1","4.74069346102574",1.48783250221044
"0.2","9.30225018727725","7.81441768506681","1","4.74069346102574",1.48783250221044
"0.2","5.86244071462002","4.37460821240958","1","4.74069346102574",1.48783250221044
"0.2","14.4211540022239","12.9333215000135","0","4.74069346102574",1.48783250221044
"0.2","8.33956771590323","6.85173521369279","1","4.74069346102574",1.48783250221044
"0.2","9.64714473565121","8.15931223344077","1","4.74069346102574",1.48783250221044
"0.2","13.416184987626","11.9283524854156","0","4.74069346102574",1.48783250221044
"0.2","13.4140404635073","11.9262079612968","0","4.74069346102574",1.48783250221044
"0.2","7.83597753511822","6.34814503290778","1","4.74069346102574",1.48783250221044
"0.2","-2.85300594560238","-4.34083844781281","1","4.74069346102574",1.48783250221044
"0.2","6.49354886389145","5.00571636168101","1","4.74069346102574",1.48783250221044
"0.2","10.7748763966863","9.28704389447589","1","4.74069346102574",1.48783250221044
"0.2","9.48515143946898","7.99731893725854","0","4.74069346102574",1.48783250221044
"0.2","8.70499742497654","7.2171649227661","1","4.74069346102574",1.48783250221044
"0.2","4.89005573964428","3.40222323743384","1","4.74069346102574",1.48783250221044
"0.2","2.99265821940131","1.50482571719087","1","4.74069346102574",1.48783250221044
"0.2","10.1973583680198","8.70952586580935","0","4.74069346102574",1.48783250221044
"0.2","9.71066929597794","8.2228367937675","1","4.74069346102574",1.48783250221044
"0.2","8.4755895483674","6.98775704615696","1","4.74069346102574",1.48783250221044
"0.2","0.724831186479605","-0.763001315730833","1","4.74069346102574",1.48783250221044
"0.2","10.4021778123913","8.91434531018086","0","4.74069346102574",1.48783250221044
"0.2","0.231628340497622","-1.25620416171282","1","4.74069346102574",1.48783250221044
"0.2","8.16010922902711","6.67227672681668","1","4.74069346102574",1.48783250221044
"0.2","-1.6205838001049","-3.10841630231533","1","4.74069346102574",1.48783250221044
"0.2","3.08425829269717","1.59642579048673","1","4.74069346102574",1.48783250221044
"0.2","8.71436217488366","7.22652967267322","1","4.74069346102574",1.48783250221044
"0.2","7.73132304453404","6.2434905423236","1","4.74069346102574",1.48783250221044
"0.2","6.2528250658934","4.76499256368297","1","4.74069346102574",1.48783250221044
"0.2","17.2014252510896","15.7135927488792","0","4.74069346102574",1.48783250221044
"0.2","11.6461234217326","10.1582909195221","1","4.74069346102574",1.48783250221044
"0.2","2.7618444967635","1.27401199455306","1","4.74069346102574",1.48783250221044
"0.2","2.97837486426198","1.49054236205154","1","4.74069346102574",1.48783250221044
"0.2","1.40527749803715","-0.0825550041732868","1","4.74069346102574",1.48783250221044
"0.2","-0.0519715082008076","-1.53980401041125","1","4.74069346102574",1.48783250221044
"0.2","8.73495867546575","7.24712617325531","1","4.74069346102574",1.48783250221044
"0.2","9.48349424711569","7.99566174490525","0","4.74069346102574",1.48783250221044
"0.2","5.15133306818683","3.66350056597639","1","4.74069346102574",1.48783250221044
"0.2","-2.98529016536295","-4.47312266757339","1","4.74069346102574",1.48783250221044
"0.2","3.33541125631999","1.84757875410955","1","4.74069346102574",1.48783250221044
"0.2","1.83219051714633","0.344358014935892","1","4.74069346102574",1.48783250221044
"0.2","1.02573837612852","-0.462094126081922","1","4.74069346102574",1.48783250221044
"0.2","-2.59031073198062","-4.07814323419106","1","4.74069346102574",1.48783250221044
"0.2","2.36963696852675","0.881804466316311","1","4.74069346102574",1.48783250221044
"0.2","2.41619545190028","0.928362949689841","1","4.74069346102574",1.48783250221044
"0.2","10.4018557753097","8.9140232730993","1","4.74069346102574",1.48783250221044
"0.2","8.93178526664906","7.44395276443862","1","4.74069346102574",1.48783250221044
"0.2","0.0753591069430115","-1.41247339526743","1","4.74069346102574",1.48783250221044
"0.2","6.76441267267637","5.27658017046593","1","4.74069346102574",1.48783250221044
"0.2","8.99363745196038","7.50580494974994","1","4.74069346102574",1.48783250221044
"0.2","8.70663871535314","7.2188062131427","1","4.74069346102574",1.48783250221044
"0.2","6.24572418968384","4.7578916874734","1","4.74069346102574",1.48783250221044
"0.2","8.9186957773496","7.43086327513916","1","4.74069346102574",1.48783250221044
"0.2","-1.48565235433409","-2.97348485654453","1","4.74069346102574",1.48783250221044
"0.2","3.42625238843883","1.93841988622839","1","4.74069346102574",1.48783250221044
"0.2","6.13404419942441","4.64621169721397","1","4.74069346102574",1.48783250221044
"0.2","4.6974059792941","3.20957347708367","1","4.74069346102574",1.48783250221044
