"scale","rf","rf.bias","rf.cr","rf.se","truth"
"0.2","0.019339655748016","-0.020660344251984","1","0.0309575116702409",0.04
"0.2","0.0544665355646261","0.0144665355646261","1","0.0309575116702409",0.04
"0.2","0.0474762783874064","0.00747627838740633","1","0.0309575116702409",0.04
"0.2","0.0698209243941886","0.0298209243941886","1","0.0309575116702409",0.04
"0.2","0.0830114105788313","0.0430114105788312","0","0.0309575116702409",0.04
"0.2","0.0961727263395889","0.0561727263395889","0","0.0309575116702409",0.04
"0.2","0.082118061276076","0.042118061276076","0","0.0309575116702409",0.04
"0.2","-0.00247326719416624","-0.0424732671941663","1","0.0309575116702409",0.04
"0.2","0.0726676393157377","0.0326676393157377","1","0.0309575116702409",0.04
"0.2","0.0633413971635787","0.0233413971635786","1","0.0309575116702409",0.04
"0.2","0.0771013958623997","0.0371013958623997","1","0.0309575116702409",0.04
"0.2","-0.0026130608669464","-0.0426130608669464","1","0.0309575116702409",0.04
"0.2","0.074016504278505","0.0340165042785049","1","0.0309575116702409",0.04
"0.2","0.0335378810008184","-0.00646211899918164","1","0.0309575116702409",0.04
"0.2","0.0705375126303219","0.0305375126303219","1","0.0309575116702409",0.04
"0.2","0.0615102160346416","0.0215102160346415","1","0.0309575116702409",0.04
"0.2","0.0764429249767599","0.0364429249767598","1","0.0309575116702409",0.04
"0.2","0.0552273240591224","0.0152273240591224","1","0.0309575116702409",0.04
"0.2","0.0384037552837706","-0.00159624471622943","1","0.0309575116702409",0.04
"0.2","0.0835111396494506","0.0435111396494506","1","0.0309575116702409",0.04
"0.2","0.102569906145323","0.0625699061453228","0","0.0309575116702409",0.04
"0.2","0.0215332967808087","-0.0184667032191913","1","0.0309575116702409",0.04
"0.2","0.0445186807413508","0.00451868074135081","1","0.0309575116702409",0.04
"0.2","0.059511780244172","0.019511780244172","1","0.0309575116702409",0.04
"0.2","0.0611922503668431","0.0211922503668431","1","0.0309575116702409",0.04
"0.2","0.0875281192273945","0.0475281192273944","1","0.0309575116702409",0.04
"0.2","0.101973149733","0.0619731497329999","0","0.0309575116702409",0.04
"0.2","0.0652068391958059","0.0252068391958059","1","0.0309575116702409",0.04
"0.2","0.0413773106151469","0.0013773106151469","1","0.0309575116702409",0.04
"0.2","0.043604615857364","0.00360461585736399","1","0.0309575116702409",0.04
"0.2","0.0718132373965744","0.0318132373965743","1","0.0309575116702409",0.04
"0.2","0.0456806658861783","0.00568066588617822","1","0.0309575116702409",0.04
"0.2","0.054223568599921","0.014223568599921","1","0.0309575116702409",0.04
"0.2","0.0538141024268788","0.0138141024268788","1","0.0309575116702409",0.04
"0.2","0.102356493096127","0.0623564930961273","0","0.0309575116702409",0.04
"0.2","0.0471294178330693","0.00712941783306931","1","0.0309575116702409",0.04
"0.2","0.0804249608539174","0.0404249608539174","1","0.0309575116702409",0.04
"0.2","0.0427094974238708","0.00270949742387078","1","0.0309575116702409",0.04
"0.2","0.0623421122646412","0.0223421122646412","1","0.0309575116702409",0.04
"0.2","0.0371133482457611","-0.00288665175423891","1","0.0309575116702409",0.04
"0.2","0.0764611932892329","0.0364611932892329","0","0.0309575116702409",0.04
"0.2","0.0584346198629947","0.0184346198629947","1","0.0309575116702409",0.04
"0.2","0.0759733050669479","0.0359733050669478","1","0.0309575116702409",0.04
"0.2","0.0727145904772076","0.0327145904772075","1","0.0309575116702409",0.04
"0.2","0.0782652048656975","0.0382652048656975","1","0.0309575116702409",0.04
"0.2","0.0593506480684666","0.0193506480684666","1","0.0309575116702409",0.04
"0.2","0.0424591279476766","0.00245912794767655","1","0.0309575116702409",0.04
"0.2","0.0730372688064961","0.0330372688064961","1","0.0309575116702409",0.04
"0.2","0.0150376254897707","-0.0249623745102293","1","0.0309575116702409",0.04
"0.2","0.0773164309555732","0.0373164309555731","1","0.0309575116702409",0.04
"0.2","0.0193319057580078","-0.0206680942419922","1","0.0309575116702409",0.04
"0.2","0.0165577587860791","-0.0234422412139209","1","0.0309575116702409",0.04
"0.2","0.0632431428910539","0.0232431428910538","1","0.0309575116702409",0.04
"0.2","0.0719041094235496","0.0319041094235495","1","0.0309575116702409",0.04
"0.2","0.0603534508533097","0.0203534508533097","1","0.0309575116702409",0.04
"0.2","0.0457580147236283","0.00575801472362825","1","0.0309575116702409",0.04
"0.2","0.107792025113705","0.0677920251137052","0","0.0309575116702409",0.04
"0.2","0.0884708267502683","0.0484708267502683","0","0.0309575116702409",0.04
"0.2","0.0818716896157838","0.0418716896157837","0","0.0309575116702409",0.04
"0.2","0.031055146934297","-0.00894485306570303","1","0.0309575116702409",0.04
"0.2","0.00480028160607365","-0.0351997183939264","1","0.0309575116702409",0.04
"0.2","0.0438967365959911","0.00389673659599105","1","0.0309575116702409",0.04
"0.2","0.022158634565655","-0.017841365434345","1","0.0309575116702409",0.04
"0.2","0.0488130645559985","0.00881306455599845","1","0.0309575116702409",0.04
"0.2","0.00680558007847493","-0.0331944199215251","1","0.0309575116702409",0.04
"0.2","0.0655466928181061","0.0255466928181061","1","0.0309575116702409",0.04
"0.2","0.0900566446580598","0.0500566446580598","1","0.0309575116702409",0.04
"0.2","0.0352542159463591","-0.0047457840536409","1","0.0309575116702409",0.04
"0.2","0.0221672007468048","-0.0178327992531953","1","0.0309575116702409",0.04
"0.2","0.0840205769909928","0.0440205769909928","1","0.0309575116702409",0.04
"0.2","0.0518797938072896","0.0118797938072896","1","0.0309575116702409",0.04
"0.2","0.0507674797291627","0.0107674797291627","1","0.0309575116702409",0.04
"0.2","0.0167300156304347","-0.0232699843695653","1","0.0309575116702409",0.04
"0.2","0.0789676129129823","0.0389676129129823","1","0.0309575116702409",0.04
"0.2","0.0817708692999502","0.0417708692999502","1","0.0309575116702409",0.04
"0.2","0.0734573914636573","0.0334573914636572","1","0.0309575116702409",0.04
"0.2","0.0552749366021272","0.0152749366021272","1","0.0309575116702409",0.04
"0.2","0.0559139101866821","0.0159139101866821","1","0.0309575116702409",0.04
"0.2","0.0458405406673273","0.00584054066732731","1","0.0309575116702409",0.04
"0.2","0.0736546925738369","0.0336546925738369","1","0.0309575116702409",0.04
