"scale","rf","rf.bias","rf.cr","rf.se","truth"
"0.2","2.25922133200297","-2.19266866799703","1","2.24593174733105",4.45189
"0.2","3.28495055559227","-1.16693944440773","1","2.24593174733105",4.45189
"0.2","5.77058516115717","1.31869516115717","1","2.24593174733105",4.45189
"0.2","1.49178512241834","-2.96010487758166","1","2.24593174733105",4.45189
"0.2","5.13992554605301","0.688035546053015","1","2.24593174733105",4.45189
"0.2","3.26661469930792","-1.18527530069208","1","2.24593174733105",4.45189
"0.2","3.1797621264065","-1.2721278735935","1","2.24593174733105",4.45189
"0.2","0.241333961722731","-4.21055603827727","0","2.24593174733105",4.45189
"0.2","2.30965935125192","-2.14223064874808","1","2.24593174733105",4.45189
"0.2","5.11942848527032","0.66753848527032","1","2.24593174733105",4.45189
"0.2","0.366568270615559","-4.08532172938444","1","2.24593174733105",4.45189
"0.2","3.72283805502184","-0.72905194497816","1","2.24593174733105",4.45189
"0.2","-0.223372438292927","-4.67526243829293","0","2.24593174733105",4.45189
"0.2","4.70760284024296","0.255712840242957","1","2.24593174733105",4.45189
"0.2","-0.378972167047792","-4.83086216704779","1","2.24593174733105",4.45189
"0.2","4.95510917600455","0.503219176004549","1","2.24593174733105",4.45189
"0.2","2.68296598318678","-1.76892401681322","1","2.24593174733105",4.45189
"0.2","6.68906879229381","2.23717879229381","1","2.24593174733105",4.45189
"0.2","5.45633966106078","1.00444966106078","1","2.24593174733105",4.45189
"0.2","3.18201030707959","-1.26987969292041","1","2.24593174733105",4.45189
"0.2","5.66039982910915","1.20850982910915","1","2.24593174733105",4.45189
"0.2","6.9076559106879","2.4557659106879","1","2.24593174733105",4.45189
"0.2","7.1192467817797","2.6673567817797","1","2.24593174733105",4.45189
"0.2","7.58005818731851","3.12816818731851","1","2.24593174733105",4.45189
"0.2","5.05356935475076","0.601679354750758","1","2.24593174733105",4.45189
"0.2","2.69055409562302","-1.76133590437698","1","2.24593174733105",4.45189
"0.2","4.46970154653499","0.0178115465349933","1","2.24593174733105",4.45189
"0.2","2.72665364257559","-1.72523635742441","1","2.24593174733105",4.45189
"0.2","3.15008885374662","-1.30180114625338","1","2.24593174733105",4.45189
"0.2","6.27318059323892","1.82129059323892","1","2.24593174733105",4.45189
"0.2","8.42599866843976","3.97410866843976","0","2.24593174733105",4.45189
"0.2","5.81142638353241","1.35953638353241","1","2.24593174733105",4.45189
"0.2","3.27918385294124","-1.17270614705875","1","2.24593174733105",4.45189
"0.2","4.37116674292314","-0.0807232570768619","1","2.24593174733105",4.45189
"0.2","3.28270905269231","-1.16918094730769","1","2.24593174733105",4.45189
"0.2","3.38650070248398","-1.06538929751602","1","2.24593174733105",4.45189
"0.2","4.45633121433855","0.00444121433855571","1","2.24593174733105",4.45189
"0.2","4.0761181811989","-0.375771818801098","1","2.24593174733105",4.45189
"0.2","6.21828291544308","1.76639291544308","1","2.24593174733105",4.45189
"0.2","3.70508600479745","-0.746803995202548","1","2.24593174733105",4.45189
"0.2","6.77286069255522","2.32097069255522","1","2.24593174733105",4.45189
"0.2","1.91423352922042","-2.53765647077958","1","2.24593174733105",4.45189
"0.2","3.63634991238234","-0.815540087617656","1","2.24593174733105",4.45189
"0.2","9.3604212400201","4.9085312400201","0","2.24593174733105",4.45189
"0.2","0.213393861183562","-4.23849613881644","1","2.24593174733105",4.45189
"0.2","6.55934971695694","2.10745971695694","1","2.24593174733105",4.45189
"0.2","1.72450763939694","-2.72738236060306","1","2.24593174733105",4.45189
"0.2","1.58158690405332","-2.87030309594668","1","2.24593174733105",4.45189
"0.2","1.7225375410329","-2.7293524589671","1","2.24593174733105",4.45189
"0.2","2.64368320232698","-1.80820679767302","1","2.24593174733105",4.45189
"0.2","0.236361512935026","-4.21552848706497","1","2.24593174733105",4.45189
"0.2","3.06147261187929","-1.39041738812071","1","2.24593174733105",4.45189
"0.2","4.35606308651386","-0.0958269134861354","1","2.24593174733105",4.45189
"0.2","6.31824915407999","1.86635915407999","1","2.24593174733105",4.45189
"0.2","6.14171257575521","1.68982257575522","1","2.24593174733105",4.45189
"0.2","2.13125009565066","-2.32063990434934","1","2.24593174733105",4.45189
"0.2","3.84588441492309","-0.606005585076907","1","2.24593174733105",4.45189
"0.2","1.70260279696237","-2.74928720303763","1","2.24593174733105",4.45189
"0.2","3.10258185869326","-1.34930814130674","1","2.24593174733105",4.45189
"0.2","3.6185617505182","-0.833328249481795","1","2.24593174733105",4.45189
"0.2","3.84319623518871","-0.608693764811285","1","2.24593174733105",4.45189
"0.2","2.36626952829907","-2.08562047170093","1","2.24593174733105",4.45189
"0.2","3.87721215236277","-0.574677847637233","1","2.24593174733105",4.45189
"0.2","7.59844353406991","3.14655353406991","1","2.24593174733105",4.45189
"0.2","3.69626323005805","-0.755626769941948","1","2.24593174733105",4.45189
"0.2","5.37285063049786","0.920960630497859","1","2.24593174733105",4.45189
"0.2","3.82029317544472","-0.631596824555274","1","2.24593174733105",4.45189
"0.2","2.00840577941607","-2.44348422058393","1","2.24593174733105",4.45189
"0.2","3.8021093772348","-0.649780622765199","1","2.24593174733105",4.45189
"0.2","6.32947560674917","1.87758560674917","1","2.24593174733105",4.45189
"0.2","1.37009923738704","-3.08179076261295","1","2.24593174733105",4.45189
"0.2","4.87405838735334","0.422168387353345","1","2.24593174733105",4.45189
"0.2","0.371129783979796","-4.0807602160202","0","2.24593174733105",4.45189
"0.2","2.79357304440695","-1.65831695559304","1","2.24593174733105",4.45189
"0.2","-0.844656151595728","-5.29654615159573","0","2.24593174733105",4.45189
"0.2","3.73063667061914","-0.721253329380858","1","2.24593174733105",4.45189
"0.2","5.69020037140371","1.23831037140371","1","2.24593174733105",4.45189
"0.2","3.49777073534515","-0.95411926465485","1","2.24593174733105",4.45189
"0.2","4.1458641951164","-0.306025804883596","1","2.24593174733105",4.45189
"0.2","6.51652232748901","2.06463232748901","1","2.24593174733105",4.45189
"0.2","1.72245578070427","-2.72943421929573","1","2.24593174733105",4.45189
"0.2","5.30928731784087","0.857397317840871","1","2.24593174733105",4.45189
"0.2","4.31647011404893","-0.135419885951073","1","2.24593174733105",4.45189
"0.2","3.38422462555989","-1.06766537444011","1","2.24593174733105",4.45189
"0.2","1.99529749988866","-2.45659250011134","1","2.24593174733105",4.45189
"0.2","2.65730712715078","-1.79458287284922","1","2.24593174733105",4.45189
"0.2","5.38616710079545","0.934277100795448","1","2.24593174733105",4.45189
"0.2","5.92863897348145","1.47674897348146","1","2.24593174733105",4.45189
"0.2","4.57755816288576","0.125668162885759","1","2.24593174733105",4.45189
"0.2","4.26174309109624","-0.190146908903756","1","2.24593174733105",4.45189
"0.2","3.72052854271499","-0.731361457285004","1","2.24593174733105",4.45189
"0.2","1.29495930491406","-3.15693069508594","0","2.24593174733105",4.45189
"0.2","8.7582523564363","4.3063623564363","0","2.24593174733105",4.45189
"0.2","3.3063032650426","-1.1455867349574","1","2.24593174733105",4.45189
"0.2","3.03004436653302","-1.42184563346698","1","2.24593174733105",4.45189
"0.2","2.62010341480363","-1.83178658519637","1","2.24593174733105",4.45189
"0.2","3.24202715229126","-1.20986284770873","1","2.24593174733105",4.45189
"0.2","5.31255260158954","0.860662601589546","1","2.24593174733105",4.45189
"0.2","4.06937213323035","-0.382517866769653","1","2.24593174733105",4.45189
"0.2","2.07482228139654","-2.37706771860346","1","2.24593174733105",4.45189
"0.2","4.31399537701274","-0.137894622987254","1","2.24593174733105",4.45189
"0.2","2.81271943451959","-1.63917056548041","1","2.24593174733105",4.45189
"0.2","3.02891828374046","-1.42297171625954","1","2.24593174733105",4.45189
"0.2","5.28861284341462","0.83672284341462","1","2.24593174733105",4.45189
"0.2","3.3452521663143","-1.1066378336857","1","2.24593174733105",4.45189
